sample,method,MCC,ARI
Normal_4_equil_TRUE_pn_150_seed_38,PPM,1,1
Normal_4_equil_TRUE_pn_150_seed_38,PPM_window5,1,1
Normal_4_equil_TRUE_pn_150_seed_38,PPM_window10,1,1
Normal_4_equil_TRUE_pn_150_seed_38,PPI,0.891316130474729,0.879040240947341
Normal_4_equil_TRUE_pn_150_seed_38,PPI_window5,0.891316130474729,0.879040240947341
Normal_4_equil_TRUE_pn_150_seed_38,PPI_window10,0.891316130474729,0.879040240947341
Normal_4_equil_TRUE_pn_150_seed_38,ALDUQ,-0.0311648996669486,-0.0293922352032375
Normal_4_equil_TRUE_pn_150_seed_38,ALDUQ_window5,-0.0311648996669486,-0.0293922352032375
Normal_4_equil_TRUE_pn_150_seed_38,ALDUQ_window10,-0.0311648996669486,-0.0293922352032375
Normal_4_equil_TRUE_pn_150_seed_38,chull,0.462657851529291,0.316364273122121
Normal_4_equil_TRUE_pn_150_seed_38,chull_window5,0.515628757802565,0.387572565334503
Normal_4_equil_TRUE_pn_150_seed_38,chull_window10,0.515628757802565,0.387572565334503
